Country,Date,New vaccinations smoothed per million
Australia,2021-08-16,0.8951
Australia,2021-08-17,0.899
Australia,2021-08-18,0.9241
Australia,2021-08-19,0.9423
Australia,2021-08-20,0.9594
Australia,2021-08-21,0.9766
Australia,2021-08-22,1.0015
Australia,2021-08-23,1.0072
Australia,2021-08-24,1.0254
Australia,2021-08-25,1.0396
Australia,2021-08-26,1.0417
Australia,2021-08-27,1.0449
Australia,2021-08-28,1.0585
Australia,2021-08-29,1.0689
Australia,2021-08-30,1.0619
Australia,2021-08-31,1.0774
Australia,2021-09-01,1.0751
Australia,2021-09-02,1.0719
Australia,2021-09-03,1.0696
Australia,2021-09-04,1.0657
Australia,2021-09-05,1.0503
Australia,2021-09-06,1.0401
Australia,2021-09-07,1.0179
Australia,2021-09-08,1.0073
Australia,2021-09-09,1.0171
Australia,2021-09-10,1.0122
Australia,2021-09-11,1.0024
Australia,2021-09-12,1.0038
Australia,2021-09-13,1.0493
Australia,2021-09-14,1.0535
Australia,2021-09-15,1.0504
Australia,2021-09-16,1.0411
Australia,2021-09-17,1.0603
Australia,2021-09-18,1.0776
Australia,2021-09-19,1.0994
Australia,2021-09-20,1.0884
Australia,2021-09-21,1.1047
Australia,2021-09-22,1.1221
Australia,2021-09-23,1.1472
Australia,2021-09-24,1.1323
Australia,2021-09-25,1.128
Australia,2021-09-26,1.1129
Australia,2021-09-27,1.1031
Australia,2021-09-28,1.103
Australia,2021-09-29,1.0872
Australia,2021-09-30,1.0835
Australia,2021-10-01,1.0921
Australia,2021-10-02,1.0876
Australia,2021-10-03,1.0839
Australia,2021-10-04,1.0188
Australia,2021-10-05,1.0292
Australia,2021-10-06,1.0445
Australia,2021-10-07,1.0392
Australia,2021-10-08,1.0417
Australia,2021-10-09,1.0555
Australia,2021-10-10,1.0707
Australia,2021-10-11,1.1411
Australia,2021-10-12,1.1335
Australia,2021-10-13,1.1241
Australia,2021-10-14,1.1142
Australia,2021-10-15,1.0968
Australia,2021-10-16,1.0748
Australia,2021-10-17,1.0711
Australia,2021-10-18,1.0519
Australia,2021-10-19,1.0181
Australia,2021-10-20,0.9937
Australia,2021-10-21,0.974
Australia,2021-10-22,0.958
Australia,2021-10-23,0.9558
Australia,2021-10-24,0.9372
Australia,2021-10-25,0.9123
Australia,2021-10-26,0.884
Australia,2021-10-27,0.8526
Australia,2021-10-28,0.8229
Australia,2021-10-29,0.7879
Australia,2021-10-30,0.7603
Australia,2021-10-31,0.7391
Australia,2021-11-01,0.7334
Australia,2021-11-02,0.7003
Australia,2021-11-03,0.6876
Australia,2021-11-04,0.6715
Australia,2021-11-05,0.666
Australia,2021-11-06,0.6543
Australia,2021-11-07,0.6428
Australia,2021-11-08,0.6058
Australia,2021-11-09,0.5973
Australia,2021-11-10,0.5747
Australia,2021-11-11,0.5567
Australia,2021-11-12,0.5362
Australia,2021-11-13,0.5193
Australia,2021-11-14,0.5164
Australia,2021-11-15,0.508
Australia,2021-11-16,0.5009
Australia,2021-11-17,0.4867
Australia,2021-11-18,0.4678
Australia,2021-11-19,0.4458
Australia,2021-11-20,0.4356
Australia,2021-11-21,0.4146
Australia,2021-11-22,0.4159
Australia,2021-11-23,0.4006
Australia,2021-11-24,0.388
Australia,2021-11-25,0.3759
Australia,2021-11-26,0.367
Australia,2021-11-27,0.3557
Australia,2021-11-28,0.3609
Australia,2021-11-29,0.3347
Australia,2021-11-30,0.3255
Australia,2021-12-01,0.3183
Australia,2021-12-02,0.3144
Australia,2021-12-03,0.3111
Australia,2021-12-04,0.3096
Australia,2021-12-05,0.3085
Australia,2021-12-06,0.3038
Australia,2021-12-07,0.3017
